Company_Name,Experience_Required,Job_Description,Job_Title,Keyskills,Link,Location,Posted_By,Posted_On,Salary
Confidential,5-10 yrs,They should work closely with the senior management and the technical teams in creating detailed scope ...,Lead - Data Analytics - Forensic & Fraud,"Predictive Analytics, SAS, Data Analytics, Data Quality, Data Analysis...","https://www.naukri.com/job-listings-Lead-Data-Analytics-Forensic-Fraud-Confidential-Mumbai-Bengaluru-Chennai-Kolkata-Delhi-5-to-10-years-300718007837?src=jobsearchDesk&sid=15381483126906&xp=26&px=1,https://www.naukri.com/recruiters/profile/amitarora-1974544?xz=0_0_7,https://www.naukri.com/recruiters/profile/amitarora-1974544?xz=0_0_7","Mumbai, Bengaluru, Chennai, Kolkata, Delhi",  Amit Arora  ,58 days ago,  Not disclosed 
EYGBS (INDIA) LLP,6-9 yrs,Experience in managing multiple concurrent initiatives from multiple regions or clients;Self-driven and ...,Assurance Data Analytics - Senior,"Data Analytics, Process Improvement, business analytics, Excel, SPSS, SAS",https://www.naukri.com/job-listings-Assurance-Data-Analytics-Senior-EYGBS-INDIA-LLP-Gurgaon-6-to-9-years-140818900285?src=jobsearchDesk&sid=15381483126906&xp=27&px=1,Gurgaon,  HR  ,39 days ago,  Not disclosed 
Nupeak IT Solutions,6-10 yrs,"Typically requires a minimum of 5-7 years experience analyzing data and/or teaching, including at least ...",Sr. SAS Data Analytics Consultant,"sas stat, text mining, base sas, data analysis, statistics, analytics...","https://www.naukri.com/job-listings-Sr-SAS-Data-Analytics-Consultant-Nupeak-IT-Solutions-Mumbai-Delhi-Jaipur-6-to-10-years-100718003640?src=jobsearchDesk&sid=15381483126906&xp=28&px=1,https://www.naukri.com/recruiters/profile/hr-2441652?xz=0_0_7,https://www.naukri.com/recruiters/profile/hr-2441652?xz=0_0_7","Mumbai, Delhi, Jaipur",  HR  ,32 days ago,  Not disclosed 
HR SYNERGY,8-11 yrs,- Flexible to work in different time zones and travel as required;- Proficient in using statistical ...,Assistant Manager - Data Analytics - Big4,"SQL, Excel, Javascript, XML, SAS, SPSS, Data Analytics, People Skills...",https://www.naukri.com/job-listings-Assistant-Manager-Data-Analytics-Big4-HR-SYNERGY-Gurgaon-Kerala-8-to-11-years-290818901989?src=jobsearchDesk&sid=15381483126906&xp=29&px=1,"Gurgaon, Kerala",  HR  ,29 days ago,  Not disclosed 
HuQuo,2-5 yrs,- 2-5 years of total experience of Data Analytics / Data Insights Generation;- Experience in credit card ...,Business Analyst/senior Business Analyst - Data Analytics- BFSI Domain,"Business Analysis, Excel, Data Analytics, SAS, VBA, Problem Solving...","https://www.naukri.com/job-listings-Business-Analyst-senior-Business-Analyst-Data-Analytics-BFSI-Domain-HuQuo-Delhi-NCR-Bengaluru-Gurgaon-2-to-5-years-230818900443?src=jobsearchDesk&sid=15381483126906&xp=30&px=1,https://www.naukri.com/recruiters/profile/arpanam-2685194?xz=0_0_7,https://www.naukri.com/recruiters/profile/arpanam-2685194?xz=0_0_7","Delhi NCR, Bengaluru, Gurgaon",  HuQuo Consulting  ,30 days ago,  Not disclosed 
SLA Consultants India,0-5 yrs,N/A,DATA Analytics / DATA Science / Analyst - BI / SAS / R / Python / RPA,"data Analyst, reporting analyst, SAS, statistics, sas programmer...","https://www.naukri.com/job-listings-DATA-Analytics-DATA-Science-Analyst-BI-SAS-R-Python-RPA-SLA-Consultants-India-Delhi-NCR-Gurgaon-Noida-0-to-5-years-300818000391?src=jobsearchDesk&sid=15381483126906&xp=31&px=1,https://www.naukri.com/recruiters/profile/bhanu-1128669?xz=0_0_7,https://www.naukri.com/recruiters/profile/bhanu-1128669?xz=0_0_7","Delhi NCR, Gurgaon, Noida",  Bhanu  ,29 days ago,"    2,00,000 - 4,25,000 P.A.  "
SLA Consultants India,0-5 yrs,N/A,DATA Analytics / DATA Science / Analyst - SAS / R / Python / RPA / BI,"data Analyst, reporting analyst, SAS, statistics, sas programmer...","https://www.naukri.com/job-listings-DATA-Analytics-DATA-Science-Analyst-SAS-R-Python-RPA-BI-SLA-Consultants-India-Delhi-NCR-Gurgaon-Noida-0-to-5-years-060918000358?src=jobsearchDesk&sid=15381483126906&xp=32&px=1,https://www.naukri.com/recruiters/profile/bhanu-1128669?xz=0_0_7,https://www.naukri.com/recruiters/profile/bhanu-1128669?xz=0_0_7","Delhi NCR, Gurgaon, Noida",  Bhanu  ,22 days ago,"    2,00,000 - 4,25,000 P.A.  "
SLA Consultants India,0-5 yrs,N/A,SAS Reporting Trainee - DATA Analytics Group ( Graduate Fresher ),"data Analyst, reporting analyst, SAS, statistics, sas programmer...","https://www.naukri.com/job-listings-SAS-Reporting-Trainee-DATA-Analytics-Group-Graduate-Fresher-SLA-Consultants-India-Delhi-NCR-Gurgaon-Noida-0-to-5-years-040918000119?src=jobsearchDesk&sid=15381483126906&xp=33&px=1,https://www.naukri.com/recruiters/profile/bhanu-1128669?xz=0_0_7,https://www.naukri.com/recruiters/profile/bhanu-1128669?xz=0_0_7","Delhi NCR, Gurgaon, Noida",  Bhanu  ,24 days ago,"    2,00,000 - 4,25,000 P.A.  "
Naukri Premium - Employer Services,13-23 yrs,Bachelors degree with at least 10 years of experience in IT Auditing and 5+ years of experience in Data ...,Sr. Director - IT Audit and Data Analytics,"Cisa, Auditing, Information Security, IT Audit, Internal Audit...",https://www.naukri.com/job-listings-Sr-Director-IT-Audit-and-Data-Analytics-Naukri-Employer-Services-Delhi-NCR-13-to-23-years-060918001992?src=jobsearchDesk&sid=15381483126906&xp=34&px=1,Delhi NCR,  Deepti  ,8 days ago,  Not disclosed 
Protiviti,3-4 yrs,"- Working jointly with our solution architects and business consultants, the Senior Consultant will be ...",Consultant - Data Analytics - Machine Learning,"SQL, Business Intelligence, R, Business Development, Data Analytics...",https://www.naukri.com/job-listings-Consultant-Data-Analytics-Machine-Learning-Protiviti-Delhi-NCR-Bengaluru-3-to-4-years-270718901171?src=jobsearchDesk&sid=15381483126906&xp=35&px=1,"Delhi NCR, Bengaluru",  HR  ,60 days ago,  Not disclosed 
